White,Black,White_Elo,Black_Elo,White_Sex,White_Sex_Source,Black_Sex,Black_Sex_Source,Result,ECO,Opening,Date,PlyCount,RatingDiff,File,Pairing
RaphaeI,mutdpro,2652,2734,M,confirmed,F,confirmed,0-1,D10,Slav Defense #2,2016.11.15,76,-82,lichess_elite_2016-11.pgn,Male vs Female (Confirmed)
Elda64,mutdpro,2833,2738,M,confirmed,F,confirmed,0-1,C11,"French Defense: Classical Variation, Burn Variation, Main Line",2017.02.15,190,95,lichess_elite_2017-02.pgn,Male vs Female (Confirmed)
Elda64,mutdpro,2798,2764,M,confirmed,F,confirmed,1-0,A45,Indian Game,2017.02.15,63,34,lichess_elite_2017-02.pgn,Male vs Female (Confirmed)
Elda64,mutdpro,2795,2767,M,confirmed,F,confirmed,0-1,D00,Queen's Pawn Game #3,2017.02.15,80,28,lichess_elite_2017-02.pgn,Male vs Female (Confirmed)
Elda64,mutdpro,2793,2768,M,confirmed,F,confirmed,0-1,D00,Queen's Pawn Game #2,2017.02.15,168,25,lichess_elite_2017-02.pgn,Male vs Female (Confirmed)
beatles_21,mutdpro,2603,2723,M,confirmed,F,confirmed,1/2-1/2,D01,Richter-Veresov Attack,2017.09.01,128,-120,lichess_elite_2017-09.pgn,Male vs Female (Confirmed)
beatles_21,mutdpro,2599,2730,M,confirmed,F,confirmed,1-0,D01,Richter-Veresov Attack,2017.09.01,103,-131,lichess_elite_2017-09.pgn,Male vs Female (Confirmed)
beatles_21,mutdpro,2605,2718,M,confirmed,F,confirmed,0-1,D00,"Queen's Pawn Game: Veresov Attack, Alburt Defense",2017.09.01,54,-113,lichess_elite_2017-09.pgn,Male vs Female (Confirmed)
RodTwinkz,mlatb,2413,2415,M,confirmed,F,confirmed,0-1,D37,Queen's Gambit Declined: Barmen Variation,2018.01.20,118,-2,lichess_elite_2018-01.pgn,Male vs Female (Confirmed)
Kovalchuk94,mlatb,2515,2351,M,confirmed,F,confirmed,1-0,D00,Queen's Pawn Game: Steinitz Countergambit,2018.02.06,80,164,lichess_elite_2018-02.pgn,Male vs Female (Confirmed)
beatles_21,mlatb,2549,2459,M,confirmed,F,confirmed,1-0,D01,Richter-Veresov Attack,2018.02.28,59,90,lichess_elite_2018-02.pgn,Male vs Female (Confirmed)
Johanssc,mlatb,2432,2325,M,confirmed,F,confirmed,1-0,A00,Grob Opening: Grob Gambit Declined,2018.04.13,125,107,lichess_elite_2018-04.pgn,Male vs Female (Confirmed)
Johanssc,mlatb,2467,2311,M,confirmed,F,confirmed,1-0,C36,"King's Gambit Accepted, Abbazia Defense",2018.04.13,39,156,lichess_elite_2018-04.pgn,Male vs Female (Confirmed)
Johanssc,mlatb,2494,2299,M,confirmed,F,confirmed,1-0,A00,Van't Kruijs Opening,2018.04.13,127,195,lichess_elite_2018-04.pgn,Male vs Female (Confirmed)
Johanssc,mlatb,2516,2288,M,confirmed,F,confirmed,1-0,C55,Italian Game: Deutz Gambit,2018.04.13,41,228,lichess_elite_2018-04.pgn,Male vs Female (Confirmed)
Johanssc,mlatb,2533,2279,M,confirmed,F,confirmed,1-0,A09,Réti Opening,2018.04.13,63,254,lichess_elite_2018-04.pgn,Male vs Female (Confirmed)
