White,Black,White_Elo,Black_Elo,White_Sex,White_Sex_Source,Black_Sex,Black_Sex_Source,Result,ECO,Opening,Date,PlyCount,RatingDiff,File,Pairing
Cofi7,Boterhoofd,2429,2368,M,confirmed,M,confirmed,0-1,B07,Pirc Defense #4,2015.01.10,90,61,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
Boterhoofd,Cofi7,2383,2416,M,confirmed,M,confirmed,1-0,B12,Caro-Kann Defense,2015.01.10,59,-33,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
Cofi7,Boterhoofd,2404,2398,M,confirmed,M,confirmed,1-0,B07,Pirc Defense #2,2015.01.10,103,6,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
Boterhoofd,Cofi7,2385,2415,M,confirmed,M,confirmed,0-1,B20,Sicilian Defense: Mengarini Variation,2015.01.10,100,-30,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
Cofi7,Boterhoofd,2425,2373,M,confirmed,M,confirmed,1-0,A41,Rat Defense: English Rat,2015.01.10,111,52,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
Boterhoofd,Cofi7,2363,2434,M,confirmed,M,confirmed,1-0,B06,Modern Defense: Standard Line,2015.01.10,37,-71,lichess_elite_2015-01.pgn,Male vs Male (Confirmed)
boorchess,Elda64,2239,2411,M,confirmed,M,confirmed,0-1,A20,English Opening: King's English Variation,2015.04.22,88,-172,lichess_elite_2015-04.pgn,Male vs Male (Confirmed)
Elda64,boorchess,2420,2233,M,confirmed,M,confirmed,0-1,D01,"Queen's Pawn Game: Veresov Attack, Classical Defense",2015.04.22,124,187,lichess_elite_2015-04.pgn,Male vs Male (Confirmed)
Elda64,arna,2610,2297,M,confirmed,M,confirmed,1-0,D02,Queen's Pawn Game: Zukertort Variation,2015.05.04,41,313,lichess_elite_2015-05.pgn,Male vs Male (Confirmed)
Cofi7,Elda64,2239,2572,M,confirmed,M,confirmed,0-1,B13,Caro-Kann Defense: Panov Attack #2,2015.08.18,54,-333,lichess_elite_2015-08.pgn,Male vs Male (Confirmed)
boorchess,Elda64,2372,2510,M,confirmed,M,confirmed,0-1,D00,Queen's Pawn Game: Mason Attack,2015.08.25,48,-138,lichess_elite_2015-08.pgn,Male vs Male (Confirmed)
Cofi7,zoranp,2283,2472,M,confirmed,M,confirmed,1/2-1/2,D37,"Queen's Gambit Declined: Harrwitz Attack, Main Line",2015.09.06,134,-189,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
zoranp,Cofi7,2464,2288,M,confirmed,M,confirmed,1-0,B22,"Sicilian Defense: Alapin Variation, Barmen Defense",2015.09.06,53,176,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
boorchess,Cofi7,2360,2418,M,confirmed,M,confirmed,1/2-1/2,A05,King's Indian Attack: Symmetrical Defense,2015.09.09,97,-58,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Boterhoofd,Cofi7,2355,2418,M,confirmed,M,confirmed,1-0,B20,Sicilian Defense: Mengarini Variation,2015.09.09,29,-63,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Cofi7,Boterhoofd,2406,2370,M,confirmed,M,confirmed,0-1,C41,"Philidor Defense: Lion Variation, Shirov Gambit",2015.09.09,90,36,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Boterhoofd,Cofi7,2360,2420,M,confirmed,M,confirmed,0-1,B20,Sicilian Defense: Mengarini Variation,2015.09.10,70,-60,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Cofi7,Elda64,2364,2420,M,confirmed,M,confirmed,1-0,B10,Caro-Kann Defense,2015.09.17,63,-56,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Elda64,Cofi7,2401,2376,M,confirmed,M,confirmed,1-0,E61,King's Indian Defense: Semi-Classical Variation,2015.09.17,39,25,lichess_elite_2015-09.pgn,Male vs Male (Confirmed)
Elda64,Magek,2598,2388,M,confirmed,M,confirmed,1-0,A41,Wade Defense,2015.11.20,87,210,lichess_elite_2015-11.pgn,Male vs Male (Confirmed)
Magek,Elda64,2383,2605,M,confirmed,M,confirmed,1-0,A28,"English Opening: King's English Variation, Four Knights Variation, Quiet Line #3",2015.11.20,115,-222,lichess_elite_2015-11.pgn,Male vs Male (Confirmed)
Elda64,Magek,2584,2402,M,confirmed,M,confirmed,0-1,A41,Wade Defense,2015.11.20,70,182,lichess_elite_2015-11.pgn,Male vs Male (Confirmed)
Magek,Cofi7,2470,2387,M,confirmed,M,confirmed,0-1,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Marco Defense",2015.12.16,82,83,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
Cofi7,Magek,2400,2456,M,confirmed,M,confirmed,0-1,A43,Old Benoni Defense,2015.12.16,118,-56,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
Kaldas90,DamianLew95,2578,2453,M,confirmed,M,confirmed,1-0,D17,"Slav Defense: Czech Variation, Krause Attack",2015.12.19,23,125,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
DamianLew95,Kaldas90,2445,2589,M,confirmed,M,confirmed,0-1,A40,Modern Defense,2015.12.19,98,-144,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
DamianLew95,Kaldas90,2438,2598,M,confirmed,M,confirmed,0-1,E68,"King's Indian, Fianchetto, Classical Variation, 8.e4",2015.12.19,40,-160,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
Kaldas90,DamianLew95,2607,2431,M,confirmed,M,confirmed,1-0,A45,"Trompowsky Attack: Classical Defense, Big Center Variation",2015.12.19,23,176,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
Cofi7,Elda64,2435,2657,M,confirmed,M,confirmed,0-1,D94,"Gruenfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch",2015.12.22,98,-222,lichess_elite_2015-12.pgn,Male vs Male (Confirmed)
Elda64,Cofi7,2554,2430,M,confirmed,M,confirmed,1-0,B06,Modern Defense: Two Knights Variation,2016.01.21,77,124,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Cofi7,Elda64,2423,2563,M,confirmed,M,confirmed,0-1,D20,Queen's Gambit Accepted: Old Variation,2016.01.21,32,-140,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Elda64,Cofi7,2571,2417,M,confirmed,M,confirmed,0-1,A40,Queen's Pawn,2016.01.21,96,154,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Cofi7,Elda64,2432,2554,M,confirmed,M,confirmed,0-1,A00,Gedult's Opening,2016.01.21,68,-122,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Elda64,Cofi7,2562,2425,M,confirmed,M,confirmed,1-0,B02,Alekhine Defense: John Tracy Gambit,2016.01.21,37,137,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
coventry,Cofi7,2276,2401,M,confirmed,M,confirmed,1-0,A04,Zukertort Opening: Kingside Fianchetto,2016.01.22,109,-125,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
jeffforever,Cofi7,2530,2462,M,confirmed,M,confirmed,1/2-1/2,C65,Ruy Lopez: Berlin Defense #2,2016.01.27,136,68,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Cofi7,jeffforever,2464,2528,M,confirmed,M,confirmed,0-1,E91,King's Indian Defense: Orthodox Variation,2016.01.27,32,-64,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Elda64,jorquerino,2578,2357,M,confirmed,M,confirmed,1-0,A46,Indian Game: Wade-Tartakower Defense,2016.01.28,51,221,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
jorquerino,Elda64,2352,2583,M,confirmed,M,confirmed,0-1,B10,Caro-Kann Defense: Breyer Variation,2016.01.28,88,-231,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
Elda64,jorquerino,2589,2347,M,confirmed,M,confirmed,1-0,D02,Queen's Pawn Game: Zukertort Variation,2016.01.28,83,242,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
jorquerino,Elda64,2342,2594,M,confirmed,M,confirmed,0-1,B10,Caro-Kann Defense: Two Knights Attack,2016.01.28,74,-252,lichess_elite_2016-01.pgn,Male vs Male (Confirmed)
