White,Black,White_Elo,Black_Elo,White_Sex,White_Sex_Source,Black_Sex,Black_Sex_Source,Result,ECO,Opening,Date,PlyCount,RatingDiff,File,Pairing
jeffforever,Berthe,2460,2390,M,confirmed,F,inferred,0-1,C68,"Ruy Lopez: Exchange Variation, King's Bishop Variation",2014.10.05,80,70,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Nimrod64,Marta_singer,2341,2505,M,inferred,F,inferred,0-1,D11,Slav Defense: Modern,2014.10.28,122,-164,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Bobby64,Marta_singer,2215,2513,M,inferred,F,inferred,1-0,D04,Queen's Pawn Game: Colle System,2014.10.28,97,-298,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Goran_Krastev,Marta_singer,2252,2494,M,inferred,F,inferred,0-1,C44,Scotch Game: Benima Defense,2014.10.28,46,-242,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Goran_Krastev,Marta_singer,2303,2475,M,inferred,F,inferred,1-0,C44,Scotch Game: Benima Defense,2014.10.29,133,-172,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Goran_Krastev,Marta_singer,2300,2455,M,inferred,F,inferred,0-1,C44,Scotch Game: Benima Defense,2014.10.29,22,-155,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Goran_Krastev,Marta_singer,2294,2442,M,inferred,F,inferred,0-1,C44,Scotch Game: Benima Defense,2014.10.29,54,-148,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
gus_fring,Marta_singer,2218,2450,M,inferred,F,inferred,0-1,D10,Slav Defense #2,2014.10.29,156,-232,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
gus_fring,Marta_singer,2231,2434,M,inferred,F,inferred,0-1,D19,"Slav Defense: Czech Variation, Classical System, Main Line",2014.10.29,128,-203,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
gus_fring,Marta_singer,2243,2420,M,inferred,F,inferred,1-0,A11,English Opening: Caro-Kann Defensive System,2014.10.29,11,-177,lichess_elite_2014-10.pgn,Male vs Perceived Female (Inferred)
Cofi7,Berthe,2411,2320,M,confirmed,F,inferred,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",2015.01.08,69,91,lichess_elite_2015-01.pgn,Male vs Perceived Female (Inferred)
dorian11,ANNALENA,2433,2321,M,inferred,F,inferred,1-0,A40,Modern Defense,2015.02.27,77,112,lichess_elite_2015-02.pgn,Male vs Perceived Female (Inferred)
dorian11,ANNALENA,2426,2328,M,inferred,F,inferred,1-0,A46,Torre Attack,2015.02.27,112,98,lichess_elite_2015-02.pgn,Male vs Perceived Female (Inferred)
dorian11,ANNALENA,2441,2312,M,inferred,F,inferred,0-1,A40,Modern Defense,2015.02.27,130,129,lichess_elite_2015-02.pgn,Male vs Perceived Female (Inferred)
carlos78,Berthe,2223,2434,M,inferred,F,inferred,0-1,A00,Polish Opening: Outflank Variation,2015.03.09,154,-211,lichess_elite_2015-03.pgn,Male vs Perceived Female (Inferred)
carlos78,Berthe,2212,2444,M,inferred,F,inferred,0-1,A00,Polish Opening: Outflank Variation,2015.03.09,90,-232,lichess_elite_2015-03.pgn,Male vs Perceived Female (Inferred)
Elda64,ANNALENA,2476,2205,M,confirmed,F,inferred,1-0,D00,"Queen's Pawn Game: Veresov Attack, Fianchetto Defense",2015.04.23,69,271,lichess_elite_2015-04.pgn,Male vs Perceived Female (Inferred)
luka1950,lama17,2449,2287,M,inferred,F,inferred,1-0,B20,Sicilian Defense: Keres Variation,2015.05.21,65,162,lichess_elite_2015-05.pgn,Male vs Perceived Female (Inferred)
Elda64,lama17,2485,2227,M,confirmed,F,inferred,1-0,A40,Horwitz Defense,2015.05.26,129,258,lichess_elite_2015-05.pgn,Male vs Perceived Female (Inferred)
Elda64,Siana,2412,2473,M,confirmed,F,inferred,1-0,D03,"Queen's Pawn Game: Torre Attack, Gossip Variation",2015.06.14,11,-61,lichess_elite_2015-06.pgn,Male vs Perceived Female (Inferred)
Elda64,Siana,2442,2416,M,confirmed,F,inferred,0-1,D02,Queen's Pawn Game: Anti-Torre,2015.06.14,58,26,lichess_elite_2015-06.pgn,Male vs Perceived Female (Inferred)
AjusteSolido,lama17,2409,2271,M,confirmed,F,inferred,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,2015.08.09,144,138,lichess_elite_2015-08.pgn,Male vs Perceived Female (Inferred)
Elda64,the_economist,2554,2257,M,confirmed,F,inferred,1-0,A46,Torre Attack,2015.08.25,101,297,lichess_elite_2015-08.pgn,Male vs Perceived Female (Inferred)
Elda64,lama17,2653,2363,M,confirmed,F,inferred,1-0,A40,Horwitz Defense,2015.08.26,115,290,lichess_elite_2015-08.pgn,Male vs Perceived Female (Inferred)
Jonah94,lama17,2421,2346,M,inferred,F,inferred,1-0,E00,Kangaroo Defense,2015.09.09,91,75,lichess_elite_2015-09.pgn,Male vs Perceived Female (Inferred)
