player_username,player_sex,game_id,opponent_rating,opponent_id,is_white,won,status,total_moves,acpl,eco,opening_name,timestamp,moves,complexity
elsas,M,RGpODT1g,2512.0,Hemoglobinski,True,False,draw,28,32.0,B01,Scandinavian Defense: Blackburne Gambit,1765659530366,e4 d5 exd5 c6 dxc6 Nxc6 Nf3 e5 Bb5 Bd6 O-O Ne7 Nc3 O-O d3 Bg4 h3 Bh5 g4 Bg6 Nh4 Nd4 Bc4 Kh8 Ne4 f5 Nxd6 Qxd6 Nxg6+ Qxg6 c3 fxg4 Qxg4 Nf3+ Kh1 Qf6 Be3 a6 Bc5 Rad8 Rad1 Rfe8 Kg2 Nf5 Be3 N5h4+ Kh1 Qc6 Qe4 Qd7 Qg4 Qc6 Qe4 Qd7 Qg4 Qc6,88.12162162162163
elsas,M,0Ya8QM5Z,2504.0,SchhW,False,False,draw,59,9.0,E90,"King's Indian Defense: Normal Variation, Rare Defenses",1765615410557,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O g3 e5 Bg2 Nc6 O-O Bg4 dxe5 Nxe5 h3 Bxf3 Bxf3 Nxc4 Be2 Nb6 f4 Re8 Bf3 c6 Re1 Qc7 Be3 Rad8 Qb3 d5 Bxb6 Qxb6+ Qxb6 axb6 exd5 Nxd5 Rxe8+ Rxe8 Nxd5 cxd5 Bxd5 Bxb2 Rb1 Bd4+ Kf1 Re3 Rb3 Rxb3 axb3 Kf8 Bxb7 Ke7 Ke2 f5 Bd5 Kf6 Kd3 Bf2 g4 fxg4 hxg4 h5 Ke2 Bc5 g5+ Kg7 Kf3 Bd6 Be6 Bc7 Bh3 Bd6 Ke4 Bc7 f5 gxf5+ Kxf5 h4 Ke6 Bg3 Bf5 Bf2 Kd5 h3 Bxh3 Kg6 Kc6 Kxg5 Bf1 Kf6 Kd5 Kf5 Bd3+ Kf4 Bg6 Bg1 b4 Ke3 Kc4 Kd2 Kb5 Kc3 Bf7 Bc5 bxc5 bxc5 Bc4 Kd4 Bb3 c4 Bc2 Kc3 Bh7 Kb2 Kxc4,54.833333333333336
elsas,M,rmKbkdjY,2268.0,kars78,True,True,resign,34,68.0,E81,"King's Indian Defense: Sämisch Variation, Sämisch Gambit",1765615088978,d4 d6 c4 g6 Nc3 Bg7 e4 Nf6 f3 O-O Be3 c5 dxc5 Nc6 cxd6 Be6 dxe7 Qxe7 Kf2 Rad8 Nd5 Qe8 Qc2 Nd7 Ne2 f5 exf5 Bxf5 Qb3 b6 Ng3 Na5 Qc2 Nc5 Nxf5 Rxf5 Re1 Re5 b4 Bh6 bxc5 Rdxd5 cxd5 Rxe3 Bc4 Nxc4 Qxc4 Qe5 d6+ Kf8 Rhf1 Bg5 g3 bxc5 f4 Qb2+ Re2 Rxe2+ Qxe2 Qd4+ Qe3 Bf6 Qxd4 Bxd4+ Kf3 Ke8 Ke4 Kd7 Kd5,77.66
elsas,M,KKV7CCfX,2468.0,Ryano_333,False,True,resign,32,27.0,C26,Vienna Game: Mieses Variation,1765614825466,e4 e5 Nc3 Nf6 g3 c6 d4 exd4 Qxd4 d5 exd5 cxd5 Bg2 Nc6 Qd3 d4 Ne4 Bf5 Bg5 Bxe4 Bxe4 Qa5+ Bd2 Qe5 f3 Nxe4 Qxe4 Qxe4+ fxe4 Bc5 O-O-O O-O Nf3 Rfe8 Rhe1 f6 c3 Rad8 Kc2 d3+ Kb1 Re6 Bc1 a6 Be3 Bf8 Nd2 b5 a3 g6 Rf1 Kf7 Rf3 Ne5 Rff1 Nc4 Bd4 Bh6 Nf3 d2 g4 Be3 Ng5+ Bxg5,54.56666666666667
elsas,M,CjlVg3ig,2445.0,LudovicM59,True,False,resign,21,47.0,C56,"Italian Game: Scotch Gambit, Max Lange Attack",1765553797190,e4 Nc6 Nf3 e5 d4 exd4 Bc4 Nf6 e5 d5 Bb5 Ne4 Nxd4 Bd7 Bxc6 bxc6 O-O Bc5 f3 Ng5 Be3 O-O f4 Ne4 Nd2 f6 Nxe4 dxe4 exf6 Qxf6 c3 Rad8 Qb3+ Kh8 Qa4 Bb6 Rad1 c5 Nb5 a6 Qxa6 Ra8 Qb7,92.45833333333333
elsas,M,xn3xmZNs,2368.0,Artem_Ry,True,False,resign,51,55.0,E10,Indian Defense: Anti-Nimzo-Indian,1765431325565,d4 Nf6 c4 e6 Nf3 c5 e3 cxd4 exd4 Bb4+ Nc3 O-O Bd3 h6 O-O d5 c5 Bxc3 bxc3 b6 Ba3 bxc5 Bxc5 Re8 Ne5 Ba6 Rb1 Bxd3 Qxd3 Qc7 f4 Ne4 Bb4 a5 Ba3 Qxc3 Rb3 Qxd3 Rxd3 f6 Ng6 Nd7 f5 Rab8 fxe6 Rxe6 Nf4 Reb6 Nxd5 Rb1 Rdd1 Rxd1 Rxd1 f5 Ne7+ Kh7 Nxf5 Nc3 Re1 Rb5 g4 Nd5 Re5 N7f6 h3 Rb1+ Kg2 Nf4+ Kg3 g5 Re7+ Kh8 Rf7 Ne4+ Kf3 Nd2+ Kg3 Rg1+ Kf2 Nxh3+ Ke2 Rg2+ Kd3 Nf4+ Kc3 Nb1+ Kb3 Nxa3 Kxa3 Rxg4 Rf8+ Kh7 Ne7 Ne6 d5 Nxf8 d6 Nd7 Nd5 Rd4 Nf6+ Nxf6,227.11666666666667
elsas,M,PV3Icovy,2392.0,Neftegor,False,True,resign,46,17.0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation",1765430899359,d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bg5 c6 e3 Be7 Bd3 O-O Qc2 h6 Bf4 Re8 h3 Bd6 Bxd6 Qxd6 Nf3 Nbd7 O-O a6 Rab1 c5 dxc5 Nxc5 Rfd1 Be6 Be2 Rac8 Rd4 Qe7 Qd1 Red8 Qe1 Nce4 Rc1 b5 a3 Rc7 Bd3 Rdc8 Rb4 Nxc3 Rxc3 Rxc3 bxc3 Qc5 Rb3 Ne4 Nd4 Nxc3 Nxe6 fxe6 Qd2 Na4 Kh2 Qd6+ g3 Nc5 Rc3 Rc7 Bb1 Nd7 Rd3 Ne5 Qd1 Nxd3 Qxd3 Qe5 Qh7+ Kf7 Bg6+ Ke7 Qg8 Kd6 Qf8+ Kc6 Qa8+ Kb6 Qb8+ Kc5 Qa8 Qd6 Kg2 Kc4 Qe8 e5,46.6
elsas,M,piSXZ5y9,2307.0,fryingdog,True,True,resign,40,39.0,A43,Benoni Defense: Benoni-Indian Defense,1765430621273,d4 c5 d5 Nf6 Nc3 e6 e4 exd5 exd5 d6 Nf3 Be7 Bd3 O-O O-O a6 a4 Bg4 Re1 Nbd7 h3 Bh5 Bf4 Re8 Be2 Bf8 Qd2 Qc7 Ng5 Bg6 Bd3 Ne5 Bxe5 dxe5 Bxg6 hxg6 Nge4 Rad8 Nxf6+ gxf6 Ne4 Bg7 c4 f5 Nc3 e4 Re2 Bd4 Kh1 Kg7 Rf1 Qa5 Qc2 Qb4 Nd1 b5 axb5 axb5 b3 Ra8 Ne3 Ra3 Rb1 Rea8 d6 Rd8 Nd5 Qa5 b4 cxb4 c5 Ra1 Ree1 Ra2 Qc1 Rxf2 Nxb4 Qa7 Nc6 Qb7 Nxd8,73.44166666666666
elsas,M,67d8YVR2,2351.0,Jrnbrk,True,True,outoftime,38,58.0,E11,Bogo-Indian Defense: Wade-Smyslov Variation,1765429993816,d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 a5 a3 Bxd2+ Qxd2 a4 Nc3 d6 e4 O-O Bd3 e5 d5 Nbd7 O-O Nc5 Bc2 Nh5 Ne1 Qh4 g3 Qh3 f3 Kh8 Nb5 Qd7 Nd3 Nxd3 Bxd3 b6 Rae1 Qd8 f4 Bh3 Rf2 exf4 gxf4 g5 Qc3+ f6 Be2 Nxf4 Rxf4 gxf4 Qxh3 Rg8+ Kh1 Qe7 Qf3 Rg6 Qxf4 Rag8 Bf3 Qg7 Qe3 Rh6 Rg1 Rg6 Rxg6 hxg6 Nd4 Re8 Ne6 Rxe6 dxe6 Kh7 Bg4 Qe7 h4 Kg7 Kg2,52.060344827586206
elsas,M,1xRY1cjJ,2428.0,Slovafn,False,False,mate,69,39.0,A48,East Indian Defense,1765429591258,d4 Nf6 Nf3 g6 Nbd2 Bg7 c3 d5 e4 dxe4 Ne5 O-O Bc4 Nbd7 Qe2 Nb6 Bb3 Bf5 g4 Bd7 g5 Nfd5 Qxe4 e6 h4 c5 dxc5 Na4 Nxd7 Qxd7 Bxa4 Qe7 Nf3 Qxc5 Bb3 a5 O-O a4 Bxd5 exd5 Qf4 Rfe8 Be3 Qc6 Bd4 Re4 Qd2 Qd7 Nh2 Bxd4 cxd4 Rxh4 f4 Rh3 Rf3 Rxf3 Nxf3 Qg4+ Kf2 Re8 Rg1 Qf5 Re1 Re4 Rxe4 dxe4 Ne5 Qh3 Qc3 Qh2+ Ke3 Qh1 Qc8+ Kg7 d5 Qe1+ Kd4 e3 Qc3 Qxc3+ bxc3 e2 Nd3 f6 c4 fxg5 fxg5 h5 c5 h4 Ke3 h3 Kxe2 Kf7 Nf2 h2 c6 bxc6 dxc6 Ke6 Kf3 Kd6 Kg2 Kxc6 Kxh2 Kd5 Kg3 Ke5 Kg4 Kd4 Nh3 Ke5 Nf4 Kd4 Nxg6 Kd5 Nf4+ Ke5 g6 Kf6 Kh5 Kg7 Kg5 a3 Kf5 Kg8 Kf6 Kf8 Ne6+ Kg8 g7 Kh7 Kf7 Kh6 g8=Q Kh5 Qg3 Kh6 Qh4#,60.55833333333333
