player_username,resignation_threshold,n_resignations
AGmedina,28.0,2
Alindsay,32.0,5
Anchkaaaaa,45.0,3
ArmQueen,39.0,7
Banzeus,33.5,4
BetulCemreYildiz,15.0,1
Briseyda,28.0,3
Catherine_Kaslan,29.0,6
Chesssplayer21,43.0,2
CyrilMarcelin,48.0,1
Dire_Promise,32.0,4
Edogawayan,58.0,3
Ermito,37.0,2
FunnyBlani,23.5,4
HakanTooGood,27.0,4
Heinza9,63.0,2
Homino,39.5,6
Jemimapaulo2007,32.0,3
Kacparov,53.5,4
Karttunen,38.0,6
Keti_Tsatsalashvili,28.0,1
Krestik,39.5,4
Krestoman,36.5,4
Lukianoo,33.0,7
Magic_Chess_by,34.0,3
Mahan_83,31.0,3
MattyDPerrine,38.0,5
Mezioud-Amina88,30.0,3
MrSuccess,23.0,5
NguyenDucHoa,31.5,2
Ninely,35.0,5
OhanyanEminChess,37.5,4
Patagonico2020,40.5,4
Prniiian_ghomi,34.0,3
Rachel2070,36.0,8
RakitinD,39.0,1
Roman2001,39.0,10
Rsmon54Terrible,41.0,5
Rybka89,31.0,2
ShantiNurAbidahWIM,42.5,2
SiranAND,33.5,6
SophieN,30.0,2
Souky71,36.0,3
Tashik,30.5,8
Tenamu,33.5,10
Vanellope04,20.0,3
Velis_23,38.0,3
ViciousKnight30,40.0,1
Warrior_5,49.0,2
ZZZaaa1,34.5,2
andy_rekt,31.0,5
anna-maja,30.0,5
athemm,32.5,8
bdr2002,29.0,5
camivette,26.0,5
champion64,33.0,5
chess_is_wonder,21.0,2
chessbrahs,28.0,8
d-pawn,39.0,6
danshev16,38.5,2
ebret,27.0,7
elsas,21.0,7
escha,39.0,4
gravereaper,40.5,2
haski_2014,33.5,10
hhcuuid,39.0,2
imnow,23.5,4
jeppehaldfalk,43.5,4
juancruzariasTDF,41.0,3
kasparovsabe,36.0,1
kathryna,29.0,1
kpio91,32.5,4
laksshana,23.0,4
laligb,20.0,4
lindenice,23.0,5
marichola,36.0,5
matols1992,43.0,5
meoluoi91,29.5,4
mlatb,49.0,1
muisback,40.0,3
parajuli1982,23.5,4
paruchi,37.0,3
pepechess1,30.5,4
pollocuba2019,26.5,4
sahibsinghknight,49.0,3
theKittycat,41.0,8
tilsiav,40.5,2
tka3,44.0,3
tomikapi2,45.0,5
zabivol_mc,33.0,3
