White_Unified_Name,Opponent_Sex,PlyCount,RatingDiff,Opening,IsAggressive,White_Sex,Pairing
"Kumic, Filip",M,90,61,Pirc Defense #4,False,M,Male vs Male
"Kuipers, Eelco",M,100,-30,Sicilian Defense: Mengarini Variation,True,M,Male vs Male
"Boor, Carl",M,88,-172,English Opening: King's English Variation,False,M,Male vs Male
"Velten, Paul",M,124,187,"Queen's Pawn Game: Veresov Attack, Classical Defense",True,M,Male vs Male
"Kumic, Filip",M,54,-333,Caro-Kann Defense: Panov Attack #2,True,M,Male vs Male
"Boor, Carl",M,48,-138,Queen's Pawn Game: Mason Attack,True,M,Male vs Male
"Kumic, Filip",M,90,36,"Philidor Defense: Lion Variation, Shirov Gambit",True,M,Male vs Male
"Kuipers, Eelco",M,70,-60,Sicilian Defense: Mengarini Variation,True,M,Male vs Male
"Velten, Paul",M,70,182,Wade Defense,False,M,Male vs Male
"Korobkin, Maxim",M,82,83,"Queen's Indian Defense: Kasparov-Petrosian Variation, Marco Defense",False,M,Male vs Male
"Kumic, Filip",M,118,-56,Old Benoni Defense,False,M,Male vs Male
"Lewtak, Damian",M,98,-144,Modern Defense,False,M,Male vs Male
"Lewtak, Damian",M,40,-160,"King's Indian, Fianchetto, Classical Variation, 8.e4",True,M,Male vs Male
"Kumic, Filip",M,98,-222,"Gruenfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch",False,M,Male vs Male
"Kumic, Filip",M,32,-140,Queen's Gambit Accepted: Old Variation,True,M,Male vs Male
"Velten, Paul",M,96,154,Queen's Pawn,False,M,Male vs Male
"Kumic, Filip",M,68,-122,Gedult's Opening,False,M,Male vs Male
"Kumic, Filip",M,32,-64,King's Indian Defense: Orthodox Variation,True,M,Male vs Male
"Jorquera, Marcelo",M,88,-231,Caro-Kann Defense: Breyer Variation,False,M,Male vs Male
"Jorquera, Marcelo",M,74,-252,Caro-Kann Defense: Two Knights Attack,True,M,Male vs Male
"Maidel, Anton",M,144,-177,Queen's Gambit Accepted: Janowski-Larsen Variation,True,M,Male vs Male
"Maidel, Anton",M,130,-202,Caro-Kann Defense: Bronstein-Larsen Variation,False,M,Male vs Male
"Syrov, Arkadi",M,116,-167,"Philidor Defense: Lion Variation, Shirov Gambit",True,M,Male vs Male
"Kuipers, Eelco",M,44,179,Mieses Opening: Reversed Rat,False,M,Male vs Male
"Kumic, Filip",M,116,-179,"English Opening: Anglo-Indian Defense, King's Knight Variation",False,M,Male vs Male
"Beerdsen, Thomas",M,152,20,Caro-Kann Defense: Bronstein-Larsen Variation,False,M,Male vs Male
"Kumic, Filip",M,64,-123,Queen's Gambit Accepted: Mannheim Variation,True,M,Male vs Male
"Hirneise, Jens",M,126,17,Ruy Lopez: Berlin Defense #2,False,M,Male vs Male
"Plichta, Kamil",M,58,216,Semi-Slav Defense,False,M,Male vs Male
"Lewtak, Damian",M,46,-173,Indian Game: Tartakower Attack,True,M,Male vs Male
"Lewtak, Damian",M,50,-202,"Pterodactyl Defense: Western, Rhamphorhynchus",False,M,Male vs Male
"Plichta, Kamil",M,30,215,Sicilian Defense: Snyder Variation,True,M,Male vs Male
"Lewtak, Damian",M,56,-173,Modern Defense,False,M,Male vs Male
"Plichta, Kamil",M,74,117,French Defense: Two Knights Variation,False,M,Male vs Male
"Lewtak, Damian",M,114,-81,Modern Defense,False,M,Male vs Male
"Plichta, Kamil",M,70,102,"Queen's Pawn Game: Veresov Attack, Fianchetto Defense",True,M,Male vs Male
"Lewtak, Damian",M,62,-69,Modern Defense,False,M,Male vs Male
"Lewtak, Damian",M,110,-83,Pirc Defense #5,False,M,Male vs Male
"Lewtak, Damian",M,88,-120,Italian Game: Two Knights Defense,False,M,Male vs Male
"Crispin Ferreras, Darvi Abraham",M,126,-181,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",True,M,Male vs Male
"Crispin Ferreras, Darvi Abraham",M,70,-499,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",True,M,Male vs Male
"Zografos, Achilleas",M,92,-115,King's Pawn Game: Maroczy Defense,False,M,Male vs Male
"Nogueira, Ivan Kuhlmann",M,74,-335,French Defense: Paulsen Variation,False,M,Male vs Male
"Velten, Paul",M,94,145,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",True,M,Male vs Male
