White_Unified_Name,Black_Sex,PlyCount,RatingDiff,Opening,IsAggressive,White_Elo,RatingBin
ciptamaulana,F,188,-114,Unknown,False,2358.0,<-100
Doccy1,F,173,-150,Unknown,False,2509.0,<-100
prepudino,F,196,-124,Unknown,False,2370.0,<-100
bened7707,F,213,-100,Unknown,False,2347.0,<-100
Boydia,F,136,-108,Unknown,False,2431.0,<-100
iam74,F,64,-145,Unknown,False,2277.0,<-100
Biciclis,F,143,-173,Unknown,False,2274.0,<-100
Lolo159,F,215,-115,Unknown,False,2586.0,<-100
eltryitharder,F,208,-163,Unknown,False,2367.0,<-100
Muhammad-Adel,F,105,-125,Unknown,False,2298.0,<-100
AndresCasado17,F,310,-174,Unknown,False,2258.0,<-100
Kjetil_Lie80,F,179,-146,Unknown,False,2510.0,<-100
baltabai,F,141,-102,Unknown,False,2349.0,<-100
peaton,F,155,-105,Unknown,False,2314.0,<-100
pupilo29,F,135,-127,Unknown,False,2312.0,<-100
pepitoverdulero,F,145,-146,Unknown,False,2517.0,<-100
elpasha,F,63,-176,Unknown,False,2351.0,<-100
venadorecargado,F,218,-152,Unknown,False,2257.0,<-100
Miguoel,F,162,-170,Unknown,False,2502.0,<-100
Fightbro,F,283,-110,Unknown,False,2429.0,<-100
Julian Estrada,F,100,-145,Trompowsky Attack,True,,<-100
Agssga,F,227,-200,Unknown,False,2282.0,<-100
coventry,F,211,-316,Unknown,False,2218.0,<-100
Maulwurf54,F,144,-151,Unknown,False,2259.0,<-100
vizir7,F,139,-170,Unknown,False,2323.0,<-100
Puratactica,F,178,-393,Unknown,False,2202.0,<-100
NPezelj,F,139,-166,Unknown,False,2509.0,<-100
fnr89,F,190,-162,Unknown,False,2328.0,<-100
SindarovGM,F,254,-195,Unknown,False,2565.0,<-100
drunkster,F,144,-139,Unknown,False,2583.0,<-100
Manu94,F,117,-126,Unknown,False,2366.0,<-100
andro2,F,165,-150,Unknown,False,2339.0,<-100
sarawakchampion2020,F,189,-221,Unknown,False,2202.0,<-100
ParkRunner22,F,171,-115,Unknown,False,2356.0,<-100
maestro_coach,F,113,-173,Unknown,False,2298.0,<-100
EnriqueLlobell,F,211,-125,Unknown,False,2525.0,<-100
elrond,F,121,-169,Unknown,False,2316.0,<-100
The_Fox_Agent,F,146,-181,Unknown,False,2283.0,<-100
captoprill,F,139,-106,Unknown,False,2306.0,<-100
Elsayoda,F,191,-144,Unknown,False,2339.0,<-100
miguelsimoes,F,219,-130,Unknown,False,2319.0,<-100
Transversalwelle,F,248,-143,Unknown,False,2274.0,<-100
Jepetto,F,77,-103,Unknown,False,2677.0,<-100
Vnebo,F,130,-160,Unknown,False,2515.0,<-100
ChrisPaul3,F,169,-108,Unknown,False,2445.0,<-100
KemChuoi,F,294,-276,Unknown,False,2515.0,<-100
Warrior_of_Sparta,F,185,-116,Unknown,False,2611.0,<-100
MagicRabbit,F,117,-162,Unknown,False,2245.0,<-100
Jamiryo33,F,236,-159,Unknown,False,2511.0,<-100
TheDominant177,F,134,-195,Unknown,False,2248.0,<-100
