Player,AvgRating,GamesCount,OpeningDiversity,Aggressiveness,Platform,Player_Sex
"ADU, Oladapo",2456.109375,2560,4.004610304556367,0.36796875,Lichess,M
Aaryan Varshney,2428.4,20,2.6491586832740177,0.45,Lichess,M
"Abasov, Nijat",2702.0708661417325,127,3.869640675018864,0.4015748031496063,Lichess,M
"Abdel Razik, Khaled",2508.496907216495,485,3.819323359155672,0.4865979381443299,Lichess,M
"Abrashkin, Boris",2356.405326523167,2741,3.5673167670431645,0.4381612550164173,Lichess,M
Adarsh Tripathi,2407.155555555556,45,2.7935210250250004,0.2222222222222222,Lichess,M
Aditya Mittal,2473.0,10,2.163955656882057,0.2,Lichess,M
"Adly, Ahmed",2634.6279069767443,43,2.3430827476949103,0.6744186046511628,Lichess,M
"Aghasaryan, Robert",2537.199203187251,251,4.322228683625813,0.3745019920318725,Lichess,M
"Aghayev, Miragha",2551.1724137931037,145,4.2030461753389226,0.4344827586206896,Lichess,M
"Aitbayev, Aslan",2608.869918699187,246,3.8281929575272473,0.4024390243902439,Lichess,M
"Akselrod, Vladislav",2565.016806722689,476,3.704371545159301,0.4054621848739496,Lichess,M
"Alaimo, Riccardo",2235.8367346938776,49,2.913474747135246,0.4897959183673469,Lichess,M
"Ali Marandi, Cemil Can",2619.6373626373625,91,3.387548808824336,0.5824175824175825,Lichess,M
"Ali, Muhammad Lutfi",2517.8618784530386,181,3.819913022689228,0.4143646408839779,Lichess,M
"Aliavdin, Nikolai",2555.535874439462,2230,4.6189710467107945,0.4089686098654708,Lichess,M
"Aligozhin, Zhaslan",2465.9310344827586,116,3.6238085770771553,0.4741379310344827,Lichess,M
"Alinasab, Mobina",2442.471698113208,53,3.014018013867285,0.6415094339622641,Lichess,F
"Aliyev, Ravan",2450.646153846154,65,3.694307667456008,0.3384615384615385,Lichess,M
"Almagro Llamas, Pablo",2536.6980470706058,1997,2.69641996877042,0.5708562844266399,Lichess,M
"Almeida Quintana, Omar",2608.1428571428573,315,3.932720782019949,0.4349206349206349,Lichess,M
"Almiron, Antonio",2438.382222222222,450,4.645007259052025,0.3644444444444444,Lichess,M
"Alvarado, Carlos",2393.822033898305,118,3.0026663856758447,0.3305084745762712,Lichess,M
"Alvarez Calzadilla, Jose Avelino",2414.154098360656,305,4.37501049045792,0.4491803278688525,Lichess,M
"Alvarez Pedraza, Aramis",2503.25,76,3.054502001442141,0.3289473684210526,Lichess,M
"Amaro Alfonso, Raynner",2472.684210526316,171,3.80399135619798,0.4853801169590643,Lichess,M
"Ambartsumova, Karina",2473.872180451128,133,3.87828087557071,0.3157894736842105,Lichess,F
Amer Karim,2298.766666666667,30,2.9504258637418843,0.3333333333333333,Lichess,M
"Amin, Bassem",2591.3636363636365,22,2.8152049266199475,0.4545454545454545,Lichess,M
"Andersen, Gunnar",2461.2254601227,652,4.39570242562046,0.4984662576687116,Lichess,M
"Andonovski, Ljubisa",2322.9568452380954,672,4.059490383665652,0.4047619047619047,Lichess,M
"Andrejevs, Arvids",2376.6315789473683,76,2.431787883658889,0.4473684210526316,Lichess,M
"Annaberdiyev, Meylis",2552.7546296296296,216,3.18398909515219,0.4537037037037037,Lichess,M
"Aponte Ramos, Argimiro",2261.0,24,2.532140934034009,0.2916666666666667,Lichess,M
"Arias, Juan Cruz",2464.2953586497893,237,3.577940774209723,0.3122362869198312,Lichess,M
Aronyak Ghosh,2391.3846153846152,13,2.20478541691352,0.1538461538461538,Lichess,M
"Aroshidze, Levan",2572.937931034483,145,3.485782488015965,0.4206896551724138,Lichess,M
"Arslanov, Shamil",2469.0027855153203,359,3.896334542836756,0.362116991643454,Lichess,M
"Artemiev, Vladislav",2865.1454545454544,165,4.161973993971304,0.2727272727272727,Lichess,M
"Arutinian, David",2588.0,99,2.6113330703048367,0.2424242424242424,Lichess,M
"Asgharzadeh, Mitra",2297.153846153846,13,2.098147389135067,0.2307692307692307,Lichess,F
"Aslanov, Umid",2272.0625,16,2.393312122974524,0.375,Lichess,M
"Atabayev, Maksat",2506.955882352941,68,3.56943312352288,0.5735294117647058,Lichess,M
"Atalik, Suat",2617.344155844156,154,3.721831027399228,0.4155844155844156,Lichess,M
"Atanejhad, Sahebali",2400.228956228956,1485,4.257351043649843,0.3737373737373737,Lichess,M
"Aukhatov, Roman",2409.052197802198,364,2.962914542640916,0.3159340659340659,Lichess,M
"Aumont, Alexandre",2298.623287671233,146,3.337567983871773,0.4931506849315068,Lichess,M
"Aydincelebi, Kagan",2397.520376175549,319,3.467811796289888,0.5454545454545454,Lichess,M
"Azarov, Sergei",2655.6181818181817,110,3.5855660246572314,0.4818181818181818,Lichess,M
"Babiy, Olga",2405.2258064516127,62,3.335672242307713,0.6935483870967742,Lichess,F
"Babujian, Levon",2569.6728971962616,107,3.271299488180685,0.3551401869158878,Lichess,M
"Bacallao Alonso, Yusnel",2638.1760391198045,409,4.146179430542777,0.3227383863080684,Lichess,M
"Bachmann, Axel",2559.150442477876,113,4.039522263327274,0.4070796460176991,Lichess,M
"Bagrationi, Alexander",2502.27972027972,143,4.067161935577236,0.4895104895104895,Lichess,M
"Bakhmatsky, Vladislav",2624.490322580645,310,4.058533282806927,0.3806451612903225,Lichess,M
"Balazs, Gabor",2457.449275362319,69,3.008991495938824,0.4782608695652174,Lichess,M
"Ballecer, Dino",2526.757575757576,165,3.3023077436156867,0.6,Lichess,M
"Banawa, Joel",2534.4243119266057,436,3.7865627301486313,0.3555045871559633,Lichess,M
"Bancod, Ronald",2360.9113924050635,553,3.59256727312223,0.5370705244122965,Lichess,M
"Banikas, Hristos",2672.2875,80,3.409500575440941,0.3875,Lichess,M
"Banzea, Alexandru-Bogdan",2406.25,108,3.68663326976049,0.4444444444444444,Lichess,M
"Barp, Alberto",2524.6929824561403,114,4.048660856773501,0.3333333333333333,Lichess,M
"Bartholomew, John",2428.125,16,2.1006789212792607,0.1875,Lichess,M
"Bashirli, Nail",2505.1,10,2.163955656882057,0.7,Lichess,M
"Baskakov, Egor",2670.7977161500817,1226,2.8037583580692464,0.3580750407830342,Lichess,M
"Baskin, Robert",2403.25,12,2.3693821196946763,0.6666666666666666,Lichess,M
"Batsiashvili, Nino",2424.5412844036696,109,3.446202970677219,0.5137614678899083,Lichess,F
"Baumegger, Siegfried",2485.745614035088,342,4.055138277232468,0.5321637426900585,Lichess,M
"Beerdsen, Thomas",2528.4444444444443,252,3.7472972057276337,0.5119047619047619,Lichess,M
"Beinoras, Mindaugas",2563.1654135338345,266,2.8046409535853782,0.6616541353383458,Lichess,M
"Bekturov, Tamerlan",2466.5438596491226,57,3.632338002297338,0.2631578947368421,Lichess,M
"Belov, Vladimir",2492.0,22,2.8152049266199475,0.5,Lichess,M
"Beradze, Irakli",2577.9938744257274,653,4.301275986179808,0.5114854517611026,Lichess,M
"Bernotas, Arturs",2462.1111111111118,18,2.5823063443139667,0.6111111111111112,Lichess,M
"Bersamina, Paulo",2505.990825688073,109,3.8510565852593137,0.6238532110091743,Lichess,M
"Bettalli, Francesco",2402.348314606741,178,3.679726820928813,0.4044943820224719,Lichess,M
"Beukema, Jasper",2414.373493975904,166,3.5407353788778457,0.4277108433734939,Lichess,M
"Bilan, Danila",2309.785714285714,14,2.540036303820981,0.3571428571428571,Lichess,M
"Bitelmajer, Martin",2470.6746987951806,166,4.036761752464699,0.3855421686746988,Lichess,M
"Blesic, Vaso",2465.657942238267,1108,4.312994750558468,0.4359205776173285,Lichess,M
