ID,Name,Fed,Sex,Title,WTitle,Rating
1701991,"Aaberg, Anton",SWE,M,IM,,2328
1407589,"Aabling-Thomsen, Jakob",DEN,M,IM,,2337
25678191,Aaditya Dhingra,IND,M,IM,,2391
48701955,Aadya Gowda,IND,F,WCM,WCM,1847
25778293,Aadya Gupta,IND,F,WFM,WFM,1923
25991426,Aadya Ranganath,IND,F,WCM,WCM,1884
1401815,"Aagaard, Jacob",DEN,M,GM,,2436
25014510,Aakanksha Hagawane,IND,F,WIM,WIM,2320
25644394,Aakash G,IND,M,FM,,2348
25033220,"Aakash Sharadchandra, Dalvi",IND,M,IM,,2419
510726,"Aalto, Patrik",FIN,M,FM,,2296
33486697,Aamuktha Guntaka,IND,F,WFM,WFM,2102
25922491,Aansh Nandan Nerurkar,IND,M,FM,,2319
33361436,Aaradhya Das,IND,F,WCM,WCM,1859
25162748,Aarav A,IND,M,CM,,2060
45059756,Aarav Dengla,IND,M,IM,,2468
33382859,Aarav Sarbalia,IND,M,FM,,2231
25674064,Aarav Sinha,IND,M,FM,,2314
33408947,Aarit Kapil,IND,M,CM,,2119
1500503,"Aarland, Stein Arild",NOR,M,FM,,2300
5000092,"Aaron, Manuel",IND,M,IM,,2315
45048975,Aaryan Varshney,IND,M,IM,,2489
45022500,Aashman Gupta,IND,M,CM,,2198
7810776,Aayat Asmi,PAK,F,WCM,WCM,1487
35029070,Aayush Bhattacherjee,IND,M,FM,,2360
3843459,"Abad Huaman, Adrian Estiven",PER,M,CM,,2092
4801628,"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,,1959
13804472,"Abaeva, Aiana",KGZ,F,WCM,WCM,1842
22217975,"Abal Cores, Lucas",ESP,M,FM,,2324
3400123,"Abarca Aguirre, Manuel",CHI,M,FM,,2347
3409414,"Abarca Gonzalez, Damaris",CHI,F,WFM,WFM,1996
3409422,"Abarca Gonzalez, Nicolas",CHI,M,IM,,2369
6705863,"Abarca, Camila Rene",ESA,F,WCM,WCM,1804
4128184,"Abasheev, Denis",RUS,M,IM,,2415
13402960,"Abasov, Nijat",AZE,M,GM,,2587
802778,"Abatino, Maurizio",ITA,M,FM,,2151
4804937,Abbas Hussein kzar,IRQ,M,CM,,2017
423831,"Abbas, Daniel",ENG,M,FM,,2228
36727890,"Abbasi Abeluie, Mohammad Mehdi",IRI,M,FM,,2244
2008645,"Abbasi, Nasser",USA,M,FM,,2305
12543675,"Abbasi, Parnian",IRI,F,WFM,WFM,1782
12501000,"Abbasifar, Hasan",ESP,M,GM,,2291
13400665,"Abbasov, Farid",AZE,M,GM,,2493
13401777,"Abbasov, Vusal",AZE,M,FM,,2245
5500222,"Abbes, Ali",TUN,M,CM,,2201
3208494,"Abbott, Peter",AUS,M,CM,,1888
7900139,"Abbou, Meriem",ALG,F,WFM,WFM,2005
3424634,"Abdala Cancino, Patricia Anastas",CHI,F,WCM,WCM,1661
2111080,"Abdalla, Luiz Guilherme Aurelli",BRA,M,FM,,2234
5529506,"Abdallah, Mohamed Khalil",TUN,M,CM,,2090
9300643,"Abdel Rahim, Mohamed",UAE,M,FM,,2053
10601104,"Abdel Razik, Khaled",EGY,M,IM,,2369
12202576,"Abdelazeez, Mohamed Abdalla",SUD,M,FM,,2174
9000054,"Abdellah, AitHmidou",MAR,M,CM,,2220
10610529,"Abdelmenaem, Sohayla",EGY,F,WFM,WFM,1899
10600035,"Abdelnabbi, Imed",EGY,M,IM,,2369
7900880,"Abdi, Zineb Dina",ALG,F,WIM,WIM,1909
14402394,"Abdil, Halil",BIH,M,FM,,2050
13716417,"Abdilkhair, Abilmansur",KAZ,M,IM,,2388
16100727,"Abdirahin, Abdullahi Mohamed",SOM,M,CM,,1897
14206323,"Abdisalimov, Abdimalik",UZB,M,GM,,2488
19603720,Abdou Ahmed Alem,MTN,M,CM,,1926
13749358,"Abdsattar, Alisher",KAZ,M,CM,,2197
14000695,"Abdukadurova, Mekhri",TKM,F,WFM,WFM,2151
14219522,"Abdukhakimov, Akbarali",UZB,M,FM,,2363
4800613,"Abdul Hadi, Maftool Mhere",IRQ,M,CM,,2235
16700066,"Abdul Rahman, Ali",MDV,M,CM,,1824
4800052,"Abdul Satar, M A",IRQ,M,CM,,2240
9300210,"Abdul, Majeed Mohamad",UAE,M,FM,,2203
9302484,"Abdulaziz, Amal",UAE,F,WFM,WFM,1786
9302492,"Abdulaziz, Eman",UAE,F,WFM,WFM,1833
16100913,Abdulkadir Mohamed Warsame,SOM,M,CM,,2001
4800176,"Abdulla, A.",IRQ,M,FM,,2320
13401807,"Abdulla, Khayala",AZE,F,WGM,WGM,2213
2403757,"Abdulla, Murad",SCO,M,FM,,2285
16700627,"Abdulla, Zaura",MDV,F,WCM,WCM,1612
9300031,"Abdullah, Mansoor",UAE,M,IM,,2270
5700086,"Abdullah, Mohd Kamal",MAS,M,CM,,2130
13402714,"Abdulov, Orkhan",AZE,M,IM,,2383
8504563,"ABDULRAHEEM, Abdulrahman Akintoye",NGR,M,FM,,2331
9310258,"Abdulrahman Mohammad, Al Taher",UAE,M,FM,,2199
9400877,"Abdulsalam, Nadhmia",YEM,F,WCM,WCM,1731
4801849,"Abdulwahhab, Ahmed Abdulsattar A",IRQ,M,FM,,2098
4174860,"Abdulyazanov, Malik",RUS,M,FM,,2301
13703544,"Abdumalik, Zhansaya",KAZ,F,GM,WGM,2468
14207346,"Abdurakhmonov, Mukhammadali",UZB,M,IM,,2363
14204118,"Abdusattorov, Nodirbek",UZB,M,GM,,2748
13800337,"Abdyzhapar, Asylbek",KGZ,M,IM,,2319
9302930,"Abeer, Ali",UAE,F,WCM,WCM,1671
24605417,"Abel, Dennes",GER,M,IM,,2383
701424,"Abel, Lajos",HUN,M,IM,,2168
4637909,"Abel, Thomas",GER,M,FM,,2338
5600251,"Abela, Daniel",MLT,M,CM,,2082
5200970,"Abelgas, Roel",PHI,M,FM,,2203
24123501,"Abelguzin, Dinar",RUS,M,FM,,2358
4170466,"Abelian, Artak",RUS,M,FM,,2346
4170474,"Abelian, Oganes",RUS,M,FM,,2324
1003640,"Abeln, Michiel",NED,M,FM,,2292
10801839,"Abera, Aydagnuhem Gezachew",ETH,M,CM,,2096
614890,"Abergel, Thal",FRA,M,GM,,2401
5013348,"Abhishek, Das",IND,M,FM,,2185
5019257,"Abhishek, Kelkar",IND,M,IM,,2172
25624849,"Abhyuday, Santhosh",IND,M,CM,,2094
3910202,"Abiad Parra, Carlos Jose",VEN,M,CM,,2167
1202278,"Abibula, Aytechin",ROU,M,FM,,2328
13701711,"Abilmazhinov, Dauren",KAZ,M,IM,,2428
9202609,"Abo Moliana, Montasar",LBA,M,FM,,2047
202606,"Abolianin, Arthur",BEL,M,IM,,2294
10600078,"Abou El Zein, Eid Mahmoud",EGY,M,IM,,2130
8100160,"Aboudi, Marwan",JOR,M,CM,,2093
22600264,Abraham Kalokoh,LBR,M,CM,,1740
2606879,"Abrahams, Daniel",CAN,M,CM,,2111
13301918,"Abrahamyan, Tatev",USA,F,IM,WGM,2406
13900609,"Abramciuc, Marius",MDA,M,FM,,2246
4174089,"Abramov, Alexander",RUS,M,FM,,2198
4144970,"Abramov, Boris",RUS,M,IM,,2149
4142713,"Abramov, Leonid",RUS,M,FM,,2161
24198951,"Abramov, Nikita",RUS,M,FM,,2300
4154070,"Abramov, Valentin",RUS,M,FM,,2271
4179196,"Abramov, Valery",RUS,M,FM,,2259
24142034,"Abramova, Ekaterina",RUS,F,WFM,WFM,2008
24104655,"Abramova, Yulia",FID,F,WCM,WCM,1888
14800063,"Abrantes, Persson",MOZ,M,CM,,2003
4120582,"Abrashkin, Boris",RUS,M,IM,,2407
600440,"Abravanel, Chely",FRA,M,FM,,2152
3502589,"Abreu Delgado, Aryam",CUB,M,GM,,2434
6405525,"Abreu Jean, Carlos Paul",DOM,M,FM,,2274
6400035,"Abreu, Jorge D.",DOM,M,IM,,2381
32092253,"Abrisqueta Zudaire, Leyre",ESP,F,WFM,WFM,2103
4166892,"Abrosimov, Vladimir",RUS,M,FM,,2341
10200916,"Abu Sufian, Shakil",BAN,M,IM,,2217
11503327,"AbuAzizah, Raji",PLE,M,FM,,2067
12200875,Abubaker Abdalsalam,SUD,M,FM,,2159
4162757,"Abubekerov, Oleg",RUS,M,FM,,2246
9202544,"Abugenda, Nagi",LBA,M,CM,,1972
24174440,"Abukarova, Madina",RUS,F,WFM,WFM,2131
24111210,"Abuladze, Lana",RUS,F,WFM,WFM,2101
6358900,"Acar, Utku Cengiz",TUR,M,CM,,2052
6303692,"Acarbay, Algi",TUR,F,WCM,WCM,1982
2200937,"Acebal Muniz, Antonio",ESP,M,FM,,2003
2200546,"Acebal Muniz, Jose Maria",ESP,M,FM,,2330
2034301,"Acers, Jude",USA,M,CM,,2229
5100844,"Acevedo Garcia, Hilda",MEX,F,WCM,WCM,2070
6504442,"Acevedo Mendez, Jennifer",CRC,F,WFM,WFM,1868
6502938,"Acevedo Mendez, Lisseth",ISL,F,WIM,WIM,1871
5100143,"Acevedo Milan, Armando",MEX,M,FM,,2235
9700374,"Acham, Meritza",MRI,F,WCM,WCM,1653
5001412,"Acharya, Chandragupta K.",IND,M,FM,,2300
2009994,"Acholonu, Gregory",USA,M,FM,,2251
9004025,Achraf Hadj Khoulti,MAR,M,CM,,2044
30982294,"Achuthan, Aryan",USA,M,CM,,2218
12956465,"Acikel, Mert",GER,M,FM,,2183
