id,username,title,online,patron,perfs,source
mraquariyaz67,mraquariyaz67,GM,,,"{'bullet': {'rating': 3512, 'progress': 22}}",leaderboard:bullet
ediz_gurel,Ediz_Gurel,GM,,,"{'bullet': {'rating': 3373, 'progress': -8}}",leaderboard:bullet
night-king96,Night-King96,GM,,True,"{'bullet': {'rating': 3302, 'progress': 10}}",leaderboard:bullet
chess-art-us,chess-art-us,GM,,,"{'bullet': {'rating': 3269, 'progress': -23}}",leaderboard:bullet
heisenberg01,Heisenberg01,FM,,,"{'bullet': {'rating': 3254, 'progress': -22}}",leaderboard:bullet
vladimirovich9000,Vladimirovich9000,GM,,,"{'bullet': {'rating': 3251, 'progress': -1}}",leaderboard:bullet
sindarovgm,SindarovGM,GM,,,"{'bullet': {'rating': 3231, 'progress': -10}}",leaderboard:bullet
hooligan64,Hooligan64,GM,,,"{'bullet': {'rating': 3228, 'progress': 0}}",leaderboard:bullet
imbrewington,imbrewington,IM,,,"{'bullet': {'rating': 3212, 'progress': 10}}",leaderboard:bullet
ohanyaneminchess,OhanyanEminChess,GM,True,,"{'bullet': {'rating': 3210, 'progress': -32}}",leaderboard:bullet
dr_tiger,Dr_Tiger,GM,,,"{'bullet': {'rating': 3207, 'progress': 3}}",leaderboard:bullet
abasovn,AbasovN,GM,True,,"{'bullet': {'rating': 3205, 'progress': 9}}",leaderboard:bullet
iamstraw,iamstraw,GM,,,"{'bullet': {'rating': 3204, 'progress': -1}}",leaderboard:bullet
zhigalko_sergei,Zhigalko_Sergei,GM,,True,"{'bullet': {'rating': 3202, 'progress': -20}}",leaderboard:bullet
rakitind,RakitinD,FM,True,,"{'bullet': {'rating': 3201, 'progress': 16}}",leaderboard:bullet
tuzakli_egitim,Tuzakli_Egitim,FM,True,,"{'bullet': {'rating': 3163, 'progress': -2}}",leaderboard:bullet
pap-g,Pap-G,GM,,True,"{'bullet': {'rating': 3158, 'progress': 32}}",leaderboard:bullet
arm-777777,ARM-777777,GM,,,"{'bullet': {'rating': 3150, 'progress': 14}}",leaderboard:bullet
rob188,rob188,IM,,,"{'bullet': {'rating': 3150, 'progress': -26}}",leaderboard:bullet
hripach007,Hripach007,IM,,,"{'bullet': {'rating': 3150, 'progress': 11}}",leaderboard:bullet
parakon1,Parakon1,GM,,,"{'bullet': {'rating': 3147, 'progress': -32}}",leaderboard:bullet
bardyk01,Bardyk01,FM,,,"{'bullet': {'rating': 3147, 'progress': -15}}",leaderboard:bullet
chesssplayer21,Chesssplayer21,GM,,,"{'bullet': {'rating': 3145, 'progress': 27}}",leaderboard:bullet
