username,id,title,name,country,bio,fide_rating,uscf_rating,ecf_rating,blitz_rating,blitz_prog,blitz_games,rapid_rating,rapid_prog,rapid_games,bullet_rating,classical_rating,url,verified
AlexaPiet,alexapiet,WFM,,,,,,,1861,19,485,1500,0,0,1727,1500,,
Seppo,seppo,IM,,DE,,,,,2589,20,4005,2443,-54,226,2571,1500,,
Alexukraine8,alexukraine8,FM,Alexander Suvorov,DE,,2345.0,,,2543,-75,2914,2349,29,28,2869,1500,,
promacherrrr,promacherrrr,IM,Ataberk Eren,TR,"Professional Chess Player, Chess Coach",2423.0,,,2900,56,295,2408,0,11,3018,1676,,
walchess,walchess,NM,ALEJANDRO WALDO ZALAPA,MX,"MAESTRO NACIONAL EN MEXICO.
FIDE ID: 5106109.",1974.0,,,2237,9,14445,2527,14,143,2032,1631,,
Vladimirovich9000,vladimirovich9000,GM,Dmitry Andreikin,GE,"Индивидуальные занятия шахматами, групповые вебинары, тренировочные партии. Все уровни подготовки, от новичка до профи. Работаем до результата! 
Individual chess lessons and training games with me. Price from $200 - hour.
andreikindv90@gmail.com",2710.0,,,2856,16,5281,2778,76,62,3251,1500,,
Ilgiux,ilgiux,FM,,IT,,,,,2273,-91,4029,2187,0,8,2348,1500,,
Sadullo_Azizov1,sadullo_azizov1,CM,Sadullo Azizov,CH,,2266.0,,,2573,-11,1472,2207,-28,56,2936,2097,,
BlackDeath777,blackdeath777,FM,,AM,,2419.0,,,2505,32,346,1979,0,7,2809,1500,,
Gahan-MG,gahan-mg,FM,Gahan MG,IN,"Hello Guys, 

I am FM Gahan MG from Bangalore, Karnataka. Currently rated 2265 with the highest rating of 2311 in 2018. I am also an active chess coach from last 4 years having training lot of students from state level to international level.",2265.0,,,2601,-5,2648,2250,-49,132,2818,2198,,
