White_Unified_Name,Black_Sex,PlyCount,RatingDiff,Opening,IsAggressive
"Kumic, Filip",M,90,61,Pirc Defense #4,False
"Kuipers, Eelco",M,100,-30,Sicilian Defense: Mengarini Variation,True
"Boor, Carl",M,88,-172,English Opening: King's English Variation,False
"Velten, Paul",M,124,187,"Queen's Pawn Game: Veresov Attack, Classical Defense",True
Spinaltap,M,152,161,"King's Indian Defense: Fianchetto Variation, Panno Variation",True
Horacio Pereyra,M,74,-124,"French Defense: Advance Variation, Paulsen Attack",True
"Kumic, Filip",M,54,-333,Caro-Kann Defense: Panov Attack #2,True
"Boor, Carl",M,48,-138,Queen's Pawn Game: Mason Attack,True
Horacio Pereyra,M,136,-298,French Defense: Paulsen Variation,False
lovlas,M,92,-195,Caro-Kann Defense: Bronstein-Larsen Variation,False
lovlas,M,50,-223,Caro-Kann Defense: Bronstein-Larsen Variation,False
lovlas,M,90,-248,Caro-Kann Defense: Bronstein-Larsen Variation,False
smurf42,M,94,187,Slav Defense #2,False
smurf42,M,112,-15,Queen's Gambit Declined: Charousek (Petrosian) Variation,True
svenos,M,72,-105,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",True
"Kumic, Filip",M,90,36,"Philidor Defense: Lion Variation, Shirov Gambit",True
smurf42,M,112,148,Trompowsky Attack,True
"Kuipers, Eelco",M,70,-60,Sicilian Defense: Mengarini Variation,True
smurf42,M,86,160,Trompowsky Attack,True
smurf42,M,78,143,Slav Defense #2,False
smurf42,M,50,-118,Queen's Gambit Accepted,True
smurf42,M,80,-152,Queen's Gambit Accepted,True
alanford,M,152,-157,Pirc Defense #2,False
smurf42,M,36,119,Queen's Gambit Accepted,True
alanford,M,62,-100,Pirc Defense #2,False
Matías halac,M,56,130,"King's Indian, Fianchetto, Classical Variation, 8.e4",True
alanford,M,38,-150,Queen's Gambit Accepted,True
John Chernoff,M,132,-223,Caro-Kann Defense: Bronstein-Larsen Variation,False
smurf42,M,72,-121,Queen's Gambit Accepted,True
smurf42,M,112,-105,French Defense: Paulsen Variation,False
smurf42,M,70,-138,French Defense: Paulsen Variation,False
smurf42,M,50,-166,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,86,-173,Caro-Kann Defense: Main Line,False
smurf42,M,82,-199,Caro-Kann Defense: Main Line,False
thujer,M,54,-229,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",True
GregShahade,M,106,253,Scandinavian Defense: Mieses-Kotroc Variation,False
"Velten, Paul",M,70,182,Wade Defense,False
Владимир Михайловский,M,154,-269,King's Indian Attack,True
Владимир Михайловский,M,22,-190,Reti Opening #2,False
Matías halac,M,62,-26,"King's Indian, Fianchetto, Classical Variation, 8.e4",True
daorange,M,110,-106,"King's Indian Defense: Normal Variation, Rare Defenses",True
daorange,M,148,-136,Rat Defense: English Rat,False
Horacio Pereyra,M,58,-139,Pirc Defense #2,False
"Korobkin, Maxim",M,82,83,"Queen's Indian Defense: Kasparov-Petrosian Variation, Marco Defense",False
"Kumic, Filip",M,118,-56,Old Benoni Defense,False
daorange,M,50,-116,"King's Indian Defense: Orthodox Variation, Classical System, Neo-Classical Line",True
smurf42,M,89,150,Slav Defense #2,False
"Lewtak, Damian",M,98,-144,Modern Defense,False
"Lewtak, Damian",M,40,-160,"King's Indian, Fianchetto, Classical Variation, 8.e4",True
"Kumic, Filip",M,98,-222,"Gruenfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch",False
smurf42,M,60,-94,Trompowsky Attack,True
smurf42,M,86,-86,Philidor Defense: Lion Variation,False
smurf42,M,42,85,Trompowsky Attack,True
topce,M,110,-195,"King's Indian Defense: Normal Variation, Rare Defenses",True
"Kumic, Filip",M,32,-140,Queen's Gambit Accepted: Old Variation,True
"Velten, Paul",M,96,154,Queen's Pawn,False
"Kumic, Filip",M,68,-122,Gedult's Opening,False
smurf42,M,61,132,Trompowsky Attack,True
smurf42,M,110,79,Trompowsky Attack,True
"Kumic, Filip",M,32,-64,King's Indian Defense: Orthodox Variation,True
FireonBoard,M,78,99,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",False
"Jorquera, Marcelo",M,88,-231,Caro-Kann Defense: Breyer Variation,False
"Jorquera, Marcelo",M,74,-252,Caro-Kann Defense: Two Knights Attack,True
"Maidel, Anton",M,144,-177,Queen's Gambit Accepted: Janowski-Larsen Variation,True
"Maidel, Anton",M,130,-202,Caro-Kann Defense: Bronstein-Larsen Variation,False
"Syrov, Arkadi",M,116,-167,"Philidor Defense: Lion Variation, Shirov Gambit",True
"Kuipers, Eelco",M,44,179,Mieses Opening: Reversed Rat,False
smurf42,M,78,-88,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,70,-121,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,80,-49,Queen's Pawn Game: Chigorin Variation,False
smurf42,M,86,83,Trompowsky Attack,True
smurf42,M,138,74,Trompowsky Attack,True
