Player,AvgRating,GamesCount,OpeningDiversity,Aggressiveness,Platform
.i .i,2588.0897435897436,78,3.559157632053119,0.28205128205128205,Lichess
1.Nc3!? - 1... Nc6!?,2331.313432835821,67,2.3750986869474473,0.373134328358209,Lichess
"ADU, Oladapo",2456.109375,2560,4.004610304556367,0.36796875,Lichess
AJSF2020,2483.84375,32,1.0302211476235266,0.21875,Lichess
AMADAN,2452.562197092084,619,3.5578883108932917,0.5525040387722132,Lichess
ASVZ,2426.5809523809526,210,2.4078310765002002,0.5571428571428572,Lichess
AVolodin,2588.972972972973,37,3.079545139809247,0.4864864864864865,Lichess
A_Kukhmazov,2674.5443349753696,812,3.8697830936324595,0.437192118226601,Lichess
Aakaash Meduri,2348.5675675675675,37,2.4716697508738896,0.24324324324324326,Lichess
Aaron_Whitney,2355.016129032258,62,3.131477091981055,0.5161290322580645,Lichess
Aaryan Varshney,2428.4,20,2.6491586832740177,0.45,Lichess
"Abasov, Nijat",2702.0708661417325,127,3.869640675018864,0.4015748031496063,Lichess
"Abdel Razik, Khaled",2508.496907216495,485,3.819323359155672,0.4865979381443299,Lichess
Abdelazeez Mohamed 12202576,2274.3571428571427,14,2.6390573296152584,0.35714285714285715,Lichess
Abdulla Khayala,2393.6428571428573,28,2.142621659947292,0.5357142857142857,Lichess
Abel Oquendo,2311.7722222222224,180,3.8538893882344483,0.5055555555555555,Lichess
"Abrashkin, Boris",2356.405326523167,2741,3.5673167670431645,0.43816125501641734,Lichess
Abubaker Tagelsir,2436.3291139240505,79,2.520273736335011,0.7088607594936709,Lichess
AchrefLahbecha,2401.1597633136093,169,3.371711370423609,0.4319526627218935,Lichess
Adam Taylor,2417.0666666666666,45,3.57938896373468,0.4222222222222222,Lichess
Adarsh Tripathi,2407.1555555555556,45,2.7935210250250004,0.2222222222222222,Lichess
Adeeel,2445.8387978142077,366,4.255567201668558,0.4562841530054645,Lichess
Adegboyega Adebayo,2495.8652739933395,3303,2.8148291229151385,0.602482591583409,Lichess
Aditya Mittal,2473.0,10,2.163955656882057,0.2,Lichess
"Adly, Ahmed",2634.6279069767443,43,2.3430827476949103,0.6744186046511628,Lichess
Adrian Fuentes,2317.1666666666665,12,2.484906649788001,0.5833333333333334,Lichess
Adrian Secheres,2587.5988023952095,167,3.6579108755234717,0.38922155688622756,Lichess
Adán Ríos Escobar,2422.1360544217687,147,3.6265206731569535,0.5102040816326531,Lichess
AerospasticMonkey,2380.7391304347825,23,2.8943995444300383,0.391304347826087,Lichess
"Aghasaryan, Robert",2537.199203187251,251,4.322228683625813,0.3745019920318725,Lichess
Aghasiyev Kamal,2439.7570093457944,107,4.094612057751122,0.3644859813084112,Lichess
"Aghayev, Miragha",2551.1724137931033,145,4.2030461753389226,0.43448275862068964,Lichess
Agustin Nieto,2287.6,10,2.0253262207700677,0.5,Lichess
Ahn Hongjin,2400.7714285714287,35,3.3819644732538676,0.4857142857142857,Lichess
"Aitbayev, Aslan",2608.869918699187,246,3.8281929575272473,0.4024390243902439,Lichess
Ajeossi94,2446.875,16,1.923065784324152,0.625,Lichess
Akintoye Abdulraheem,2392.545045045045,666,4.132650396623606,0.5345345345345346,Lichess
Akmal Fayzullayev,2478.9139072847684,151,3.8193383402361354,0.5298013245033113,Lichess
"Akselrod, Vladislav",2565.016806722689,476,3.7043715451593004,0.4054621848739496,Lichess
Al-Mudahka,2533.808383233533,167,3.018919868612218,0.5389221556886228,Lichess
"Alaimo, Riccardo",2235.8367346938776,49,2.913474747135246,0.4897959183673469,Lichess
AlainBruxelles,2337.40782122905,179,3.823409711685364,0.4301675977653631,Lichess
Alamzhi,2471.7727272727275,22,2.626164786467235,0.18181818181818182,Lichess
Alan Walton,2336.076923076923,13,1.303875529336385,0.7692307692307693,Lichess
Alejandro Castellanos Gómez,2402.128947368421,380,3.364018430336731,0.21842105263157896,Lichess
Alejandro J. Torrente C.,2410.8735632183907,87,3.1107428554195073,0.5747126436781609,Lichess
Aleksandr Kozak,2417.364864864865,74,2.497363224638206,0.5405405405405406,Lichess
Aleksandr Moiseenko,2516.311111111111,45,3.2788746184544992,0.5777777777777777,Lichess
"Aleksandrov, Danila (Александров Данила)",2334.5,88,3.3914013585677942,0.5340909090909091,Lichess
Aleksei Aleksandrov,2546.6666666666665,54,3.1497101704718586,0.48148148148148145,Lichess
Aleksei Sarana,2723.490566037736,106,3.3524455486266405,0.4339622641509434,Lichess
Aleksei Sorokin,2627.05325443787,169,4.033350795854301,0.2781065088757396,Lichess
Aleksey Kukelko,2486.2105263157896,266,3.9791926990000888,0.41353383458646614,Lichess
AlekseyBorisovich,2379.7120418848167,191,0.5342549142874817,0.11518324607329843,Lichess
Alessandro Manzone Barranco,2548.848705501618,1236,3.985522823926012,0.36003236245954695,Lichess
Alex,2470.028880866426,277,3.7129624266298675,0.3574007220216607,Lichess
Alex Astaneh,2575.471074380165,242,4.28210898208667,0.43388429752066116,Lichess
Alex Ivanov (Алексей Иванов),2453.284263959391,197,3.2523929243289507,0.5279187817258884,Lichess
Alex Terzi,2422.042857142857,70,3.040636578134205,0.37142857142857144,Lichess
Alexander Fikiet,2401.2542372881358,177,4.007528366464273,0.4971751412429379,Lichess
AlexanderPrincipe,2537.234234234234,111,3.366867658060643,0.45045045045045046,Lichess
Alexei Tapia,2402.0459770114944,87,1.8631248174211585,0.7816091954022989,Lichess
Alexey_15,2467.9166666666665,12,1.7481554572476763,0.08333333333333333,Lichess
Alexr58,2474.992141453831,509,2.398108944449974,0.6679764243614931,Lichess
"Ali Marandi, Cemil Can",2619.6373626373625,91,3.3875488088243357,0.5824175824175825,Lichess
Ali Polatel,2249.8,15,2.5232109529528914,0.4,Lichess
"Ali, Muhammad Lutfi",2517.8618784530386,181,3.819913022689228,0.4143646408839779,Lichess
Alias Falkesi Alias CheFalquito,2436.521327014218,211,2.390162052655188,0.4028436018957346,Lichess
"Aliavdin, Nikolai",2555.535874439462,2230,4.6189710467107945,0.40896860986547084,Lichess
"Aligozhin, Zhaslan",2465.9310344827586,116,3.6238085770771553,0.47413793103448276,Lichess
"Alinasab, Mobina",2442.4716981132074,53,3.014018013867285,0.6415094339622641,Lichess
"Aliyev, Ravan",2450.646153846154,65,3.694307667456008,0.3384615384615385,Lichess
"Almagro Llamas, Pablo",2536.6980470706058,1997,2.6964199687704196,0.5708562844266399,Lichess
"Almeida Quintana, Omar",2608.1428571428573,315,3.9327207820199486,0.43492063492063493,Lichess
"Almiron, Antonio",2438.382222222222,450,4.645007259052025,0.36444444444444446,Lichess
"Alvarado, Carlos",2393.822033898305,118,3.0026663856758447,0.3305084745762712,Lichess
"Alvarez Calzadilla, Jose Avelino",2414.1540983606556,305,4.37501049045792,0.4491803278688525,Lichess
"Alvarez Pedraza, Aramis",2503.25,76,3.054502001442141,0.32894736842105265,Lichess
AlwaysMore,2535.2097902097903,429,4.0394059414440635,0.4358974358974359,Lichess
"Amaro Alfonso, Raynner",2472.684210526316,171,3.8039913561979803,0.4853801169590643,Lichess
"Ambartsumova, Karina",2473.872180451128,133,3.87828087557071,0.3157894736842105,Lichess
Amer Karim,2298.766666666667,30,2.9504258637418843,0.3333333333333333,Lichess
"Amin, Bassem",2591.3636363636365,22,2.8152049266199475,0.45454545454545453,Lichess
Amin_____tb,2523.9166666666665,12,2.253857589601352,0.5,Lichess
Amirmohammad Soozankar,2316.4,10,2.3025850929940455,0.4,Lichess
Anatoliy Polischuk,2388.9473684210525,57,0.8696215979613766,0.8421052631578947,Lichess
"Andersen, Gunnar",2461.2254601226996,652,4.39570242562046,0.49846625766871167,Lichess
"Andonovski, Ljubisa",2322.9568452380954,672,4.059490383665652,0.40476190476190477,Lichess
"Andrejevs, Arvids",2376.6315789473683,76,2.4317878836588895,0.4473684210526316,Lichess
Andres Guerrero,2436.1172566371683,452,2.9326220382437436,0.37389380530973454,Lichess
Andrew,2494.3988764044943,178,3.158683437007586,0.47752808988764045,Lichess
Andrey Souza Neves,2328.1875,16,2.252728336819822,0.4375,Lichess
Andriy Zazuliak,2454.3947368421054,76,3.3437920844970987,0.34210526315789475,Lichess
Andrés Eloy Pérez Candelas,2276.7027027027025,37,2.7274126687124713,0.6216216216216216,Lichess
Ankit Rajpara,2544.9565217391305,23,1.3685960384567026,0.5217391304347826,Lichess
"Annaberdiyev, Meylis",2552.7546296296296,216,3.18398909515219,0.4537037037037037,Lichess
Anurag Mhamal,2548.372781065089,169,2.6889274221009125,0.5207100591715976,Lichess
Anwesh Upadhyaya,2475.719298245614,57,3.602055678881361,0.3333333333333333,Lichess
Apjoshua,2444.41975308642,81,2.2523812491210276,0.5925925925925926,Lichess
"Aponte Ramos, Argimiro",2261.0,24,2.532140934034009,0.2916666666666667,Lichess
Arash Akbarinia,2409.625,24,2.4961806749775364,0.2916666666666667,Lichess
Arashy_89,2458.0,22,2.523922032900179,0.22727272727272727,Lichess
Araz Al-Saffar,2428.9141104294476,326,4.256950074181033,0.29754601226993865,Lichess
Archturus,2415.837837837838,37,1.7330181718464253,0.5405405405405406,Lichess
"Arias, Juan Cruz",2464.2953586497893,237,3.577940774209723,0.31223628691983124,Lichess
Ariel Marichal,2374.5309446254073,307,3.7242334282389695,0.3811074918566775,Lichess
Ariel Nicolas Tokman,2438.234693877551,98,3.1377100712672505,0.4387755102040816,Lichess
Arjun Erigaisi,2672.3846153846152,26,3.0448204824645773,0.5384615384615384,Lichess
Arka50,2636.0,91,4.034573513823838,0.31868131868131866,Lichess
Arman Pourghanbarzad,2486.214111922141,411,3.544049489199616,0.4282238442822384,Lichess
ArnieChipmunk,2341.6190476190477,21,2.912494403331052,0.7142857142857143,Lichess
Arnold-2005,2548.8289473684213,304,3.3213179374769273,0.33223684210526316,Lichess
ArnoldEssing,2387.353846153846,65,3.0862624316822354,0.4153846153846154,Lichess
Aronyak Ghosh,2391.3846153846152,13,2.20478541691352,0.15384615384615385,Lichess
"Aroshidze, Levan",2572.937931034483,145,3.485782488015965,0.4206896551724138,Lichess
"Arslanov, Shamil",2469.0027855153203,359,3.8963345428367555,0.362116991643454,Lichess
Artem Dyachuk fm,2265.046391752577,194,3.921479394257505,0.422680412371134,Lichess
Artem Timofeev,2545.75,20,2.1809455605615966,0.0,Lichess
"Artemiev, Vladislav",2865.1454545454544,165,4.161973993971304,0.2727272727272727,Lichess
Arturo Augusto Fernandez Hernandez,2441.190541466758,1459,4.2614431925083025,0.455106237148732,Lichess
Artusha29,2544.708609271523,302,3.895808561543674,0.4503311258278146,Lichess
"Arutinian, David",2588.0,99,2.6113330703048367,0.24242424242424243,Lichess
"Asgharzadeh, Mitra",2297.153846153846,13,2.098147389135067,0.23076923076923078,Lichess
Ashot2001,2430.0555555555557,18,2.582306344313967,0.4444444444444444,Lichess
"Aslanov, Umid",2272.0625,16,2.3933121229745242,0.375,Lichess
"Atabayev, Maksat",2506.955882352941,68,3.56943312352288,0.5735294117647058,Lichess
Atakishiyev04,2455.532258064516,62,3.4577520576382903,0.3709677419354839,Lichess
"Atalik, Suat",2617.344155844156,154,3.7218310273992277,0.4155844155844156,Lichess
"Atanejhad, Sahebali",2400.228956228956,1485,4.257351043649843,0.37373737373737376,Lichess
