name,federation,sex,title_fide,fide_id,rating_fide,chesscom_username,chesscom_title,chesscom_rating_blitz,chesscom_rating_rapid,chesscom_rating_bullet,lichess_username,lichess_title,lichess_rating_blitz,lichess_rating_rapid,lichess_rating_bullet,sex_inferred
"Aaberg, Anton",SWE,M,IM,1701991.0,2328.0,,,,,,,,,,,
"Aabling-Thomsen, Jakob",DEN,M,IM,1407589.0,2337.0,taabling,IM,2358.0,2057.0,2071.0,,,,,,
Aaditya Dhingra,IND,M,IM,25678191.0,2391.0,homelander150,IM,2822.0,2402.0,2108.0,,,,,,
Aadya Gowda,IND,F,WCM,48701955.0,1847.0,aadyagowda27wc,WCM,2114.0,,1887.0,,,,,,
Aadya Gupta,IND,F,WFM,25778293.0,1923.0,pawn0209,WFM,2335.0,2052.0,2127.0,,,,,,
Aadya Ranganath,IND,F,WCM,25991426.0,1884.0,,,,,,,,,,,
"Aagaard, Jacob",DEN,M,GM,1401815.0,2436.0,gmjacobaagaard,GM,2469.0,2076.0,2199.0,,,,,,
Aakanksha Hagawane,IND,F,WIM,25014510.0,2320.0,aakankshachess,WIM,2492.0,2081.0,2246.0,,,,,,
Aakash G,IND,M,FM,25644394.0,2348.0,chera_chola_pandya_in2024,FM,2770.0,2247.0,2520.0,,,,,,
"Aakash Sharadchandra, Dalvi",IND,M,IM,25033220.0,2419.0,,,,,,,,,,,
"Aalto, Patrik",FIN,M,FM,510726.0,2296.0,kielinkei,FM,2655.0,2357.0,2513.0,,,,,,
Aamuktha Guntaka,IND,F,WFM,33486697.0,2102.0,aamuktha-guntaka,WFM,2530.0,,,,,,,,
Aansh Nandan Nerurkar,IND,M,FM,25922491.0,2319.0,aanshnerurkar,FM,2647.0,2257.0,2236.0,,,,,,
Aaradhya Das,IND,F,WCM,33361436.0,1859.0,aaradhya_das-03,WCM,2486.0,1952.0,2178.0,,,,,,
Aarav A,IND,M,CM,25162748.0,2060.0,artisticonline,CM,2663.0,,,,,,,,
Aarav Dengla,IND,M,IM,45059756.0,2468.0,aaravdenglaofficial,IM,2836.0,2361.0,2929.0,,,,,,
Aarav Sarbalia,IND,M,FM,33382859.0,2231.0,sarbalia,FM,2597.0,,2411.0,,,,,,
Aarav Sinha,IND,M,FM,25674064.0,2314.0,weifd,FM,2602.0,2300.0,2300.0,,,,,,
Aarit Kapil,IND,M,CM,33408947.0,2119.0,drstrange2015,CM,2731.0,2021.0,2459.0,,,,,,
"Aarland, Stein Arild",NOR,M,FM,1500503.0,2300.0,,,,,,,,,,,
"Aaron, Manuel",IND,M,IM,5000092.0,2315.0,,,,,,,,,,,
Aaryan Varshney,IND,M,IM,45048975.0,2489.0,anaconda1704,IM,2574.0,,2610.0,aaryan_varshney,IM,2582.0,2683.0,3164.0,
Aashman Gupta,IND,M,CM,45022500.0,2198.0,juniorjumper,CM,2500.0,2530.0,2551.0,,,,,,
Aayat Asmi,PAK,F,WCM,7810776.0,1487.0,,,,,,,,,,,
Aayush Bhattacherjee,IND,M,FM,35029070.0,2360.0,asianmaster2501,FM,2342.0,1729.0,2507.0,Aayush_Blue,FM,2193.0,2210.0,2560.0,
"Abad Huaman, Adrian Estiven",PER,M,CM,3843459.0,2092.0,,,,,,,,,,,
"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,4801628.0,1959.0,,,,,,,,,,,
"Abaeva, Aiana",KGZ,F,WCM,13804472.0,1842.0,,,,,,,,,,,
"Abal Cores, Lucas",ESP,M,FM,22217975.0,2324.0,,,,,,,,,,,
"Abarca Aguirre, Manuel",CHI,M,FM,3400123.0,2347.0,,,,,,,,,,,
"Abarca Gonzalez, Damaris",CHI,F,WFM,3409414.0,1996.0,,,,,,,,,,,
"Abarca Gonzalez, Nicolas",CHI,M,IM,3409422.0,2369.0,,,,,,,,,,,
"Abarca, Camila Rene",ESA,F,WCM,6705863.0,1804.0,,,,,,,,,,,
"Abasheev, Denis",RUS,M,IM,4128184.0,2415.0,,,,,,,,,,,
"Abasov, Nijat",AZE,M,GM,13402960.0,2587.0,nijat_a,GM,2742.0,,2951.0,AbasovN,GM,3021.0,2749.0,3205.0,
"Abatino, Maurizio",ITA,M,FM,802778.0,2151.0,,,,,,,,,,,
Abbas Hussein kzar,IRQ,M,CM,4804937.0,2017.0,,,,,,,,,,,
"Abbas, Daniel",ENG,M,FM,423831.0,2228.0,little-gnome,FM,2349.0,1665.0,2382.0,,,,,,
"Abbasi Abeluie, Mohammad Mehdi",IRI,M,FM,36727890.0,2244.0,mmahdi2013,FM,2752.0,2117.0,2841.0,,,,,,
"Abbasi, Nasser",USA,M,FM,2008645.0,2305.0,,,,,,,,,,,
"Abbasi, Parnian",IRI,F,WFM,12543675.0,1782.0,,,,,,,,,,,
"Abbasifar, Hasan",ESP,M,GM,12501000.0,2291.0,,,,,,,,,,,
"Abbasov, Farid",AZE,M,GM,13400665.0,2493.0,abbasovfarid1979,GM,2699.0,,2045.0,,,,,,
"Abbasov, Vusal",AZE,M,FM,13401777.0,2245.0,chess_rsm,FM,2776.0,2472.0,2635.0,,,,,,
"Abbes, Ali",TUN,M,CM,5500222.0,2201.0,abbesali,CM,2350.0,1953.0,1922.0,,,,,,
"Abbott, Peter",AUS,M,CM,3208494.0,1888.0,peternsw,CM,1860.0,,,,,,,,
"Abbou, Meriem",ALG,F,WFM,7900139.0,2005.0,,,,,,,,,,,
